rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,day_of_the week,,,
docked_bike,06-04-2020 18:23,06-04-2020 18:40,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,member,00:17:04,2,,,
docked_bike,06-04-2020 18:40,06-04-2020 18:54,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,member,00:13:34,2,,,
docked_bike,16-04-2020 21:36,16-04-2020 21:55,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,member,00:19:24,5,,,
docked_bike,10-04-2020 20:54,10-04-2020 21:20,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,member,00:25:18,6,,,
docked_bike,10-04-2020 23:11,10-04-2020 23:29,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,member,00:17:53,6,,,
docked_bike,21-04-2020 17:59,21-04-2020 18:03,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,member,00:04:04,3,,,
docked_bike,16-04-2020 13:22,16-04-2020 14:03,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,casual,00:41:05,5,,,
docked_bike,28-04-2020 13:48,28-04-2020 14:23,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,casual,00:35:27,3,,,
docked_bike,12-04-2020 19:41,12-04-2020 19:58,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,member,00:16:37,1,,,
docked_bike,06-04-2020 14:16,06-04-2020 15:33,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,casual,01:16:56,2,,,
docked_bike,07-04-2020 16:53,07-04-2020 17:50,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,casual,00:57:31,3,,,
docked_bike,22-04-2020 12:24,22-04-2020 12:24,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,member,00:00:11,4,,,
